Store Location,Address,Phone,Timings
Alkapuri Vadodara,"Shop No 1 To 3, Ground Floor, Meghdhanush Complex, Alkapuri, Race Course Road, Near Bird Circle, Paris Nagar, Diwalipura, Vadodara, Gujarat, 390007",+91 9582472907,Hours: 11:00 AM to 10:00 PM 
Patan,"Shop No 8/G & 9/G, Haridarshan Complex, Opposite Dsp Office, Patan, Gujarat, 384265",+91 8447614463,Hours: 10:30 AM to 08:30 PM 
"New City Light, Althan","Ground Floor, Samarth Aquistic, New City Light Road, Althan, Near Mega Marriage Hall, Surat, Gujarat, 395007",+91 7428891224,Hours: 11:00 AM to 09:30 PM 
Supermall 2 Infocity,"Shop No 5,Groud Floor,Supermall 2, Near HDFC Bank, Infocity, Gandhinagar, Gujarat, 382010",+91 9582383297,Hours: 11:00 AM to 09:00 PM 
Gunjan,"Shop No 7, Adarsh Vihar, Gunjan Cinema, Vapi, Gujarat, 396195",+91 7428890196,Hours: 11:00 AM to 09:00 PM 
Sadhuvasvani Road,"G01, Everest Enclave, Yogi Chowk, Near Gangotri Dairy, RMC Garden, Sadhuvasvani Road, Rajkot, Gujarat, 360005",+91 9582600198,Hours: 11:00 AM to 09:00 PM 
Virat Nagar,"Shop No 21 & 22, Satyagrah Residency, Opposite Kanba Hospital, Virat Nagar, Nikol, Ahmedabad, Gujarat, 380038",+91 7292090449,Hours: 11:00 AM to 09:00 PM 
Prahlad Nagar,"Shop No 4, Arth Complex, Anand Nagar Road, Prahlad Nagar, Near Seema Hall, Ahmedabad, Gujarat, 380015",+91 7428890208,Hours: 11:00 AM to 09:00 PM 
Laxmi Enclave Katagram,"Ground Floor, Shop No 57, 58 & 59 B Half, Laxmi Enclave 2, Laxmi Circle, Katargam, Opposite Gajera School, Surat, Gujarat, 395004",+91 8929165209,Hours: 11:00 AM to 09:30 PM 
Vasna Road,"Shop No 4, Ground Floor, Pancham Icon, Vasna Road, Vasna Road, Next To Dmart, Vadodara, Gujarat, 390007",+91 8929465954,Hours: 11:00 AM to 09:30 PM 
Sector 16 Gandhinagar,"Plot No 435, Sector 16, Gh Road, Sector 16, Beside Axis Bank, Gandhinagar, Gujarat, 382016",+91 8929136914,Hours: 11:00 AM to 09:00 PM 
Yagnik Road,"Ground Floor, Royal Corner, Yagnik Road, Sradar Nagar, Opposite Chaswala Park Avenue Show Room, Rajkot, Gujarat, 360001",+91 8800774907,Hours: 11:00 AM to 09:00 PM 
Bapunagar,"Ground Floor, Shantamone, L B Shastry Road, Bapunagar, Beside D Mart, Ahmedabad, Gujarat, 380024",+91 8929310930,Hours: 11:00 AM to 09:30 PM 
Ashram Road,"Ground Floor 02, Westbank, Ashram Road, Opposite City Gold Cinema, Ahmedabad, Gujarat, 380015",+91 8929346286,Hours: 11:00 AM to 09:30 PM 
Maruti Solaris Mall,"Shop No 41, Maruti Solaris Mall, Anand Sojitra Road, Anand, Gujarat, 388001",+91 9582634980,Hours: 11:00 AM to 09:30 PM 
Yogichowk,"Shop No 39, The Galleria Building, Yogi Chowk Road, Surat, Gujarat, 395010",+91 7303174175,Hours: 11:00 AM to 09:00 PM 
"Inorbit Mall, Vadodara","Shop No F30, First Floor, Inorbit Mall, Gorwa Road, Subhanpura, Opposite Alembic School, Vadodara, Gujarat, 390023",+91 7428891273,Hours: 11:00 AM to 09:30 PM 
Gota,"Shop No 4, Vrundavan Heights, Chenpur, Gota, Near Savvy Swaraj, Ahmedabad, Gujarat, 380060",+91 7428890237,Hours: 11:00 AM to 09:00 PM 
Nava Naroda,"Ground Floor, 07/08 Supreme Square, Bapa Sitaram Chowk Road Krishnanagar, Nava Naroda Nikol, Ahmedabad, Gujarat, 380038",+91 9582615706,Hours: 11:00 AM to 09:00 PM 
Ranip,"Shop No 1, Arved Transcub, Ranip Bus Station, Ranip, Opposite Ranip Brts Bus Stop, Ahmedabad, Gujarat, 382480",+91 9899871483,Hours: 11:00 AM to 09:00 PM 
Zadheshwar Road,"Shop No 4 & 5, SLD Nirvana, Zadeshwar Road, Ganeshpuri Society, Zadeshwar, Opposite Ayyappa Temple, Bharuch, Gujarat, 392011",+91 9643750125,Hours: 11:00 AM to 09:00 PM 
Akota,"Ground Floor, Shop No 4, Akota, Akota, Beside Sony Centre Parshwadarshan Complex, Vadodara, Gujarat, 390020",+91 8929342553,Hours: 11:00 AM to 09:30 PM 
South Bopal,"Shop No 18, Ground Floor, Orchid Center Complex, South Bopal, South Bopal, Opposite Safal Parisar, Ahmedabad, Gujarat, 380058",+91 8929273124,Hours: 11:00 AM to 09:00 PM 
Genda Circle,"Shop No 33, Ground Floor, Atlantis K10, Genda Circle, Alkapuri, Alkapuri, Opposite Central Mall, Vadodara, Gujarat, 390023",+91 8447730970,Hours: 11:00 AM to 10:00 PM 
Adajan,"Shop No 18, Ground Floor, Jay Complex, Anand Mahal Road, Adajan, Opposite Chakradhar Honda, Surat, Gujarat, 395009",+91 7303953954,Hours: 11:00 AM to 09:30 PM 
Sindhubhavan,"Ground Floor 5, Silver Radiance, Sindhubhavan Road Bodakdev, Sindhubhavan, Ahmedabad, Gujarat, 380058",+91 8929266319,Hours: 11:00 AM to 09:00 PM 
Palanpur,"Shop No 98 & 99, Shree Arcade Shopping Centre, Palanpur Abu Highway, Palanpur, Gujarat, 385001",+91 7303933934,Hours: 11:00 AM to 09:00 PM 
Vastrapur,"Groud Floor & First Floor, Vastrapur, Beside Yes Bank Galaxy Bazaar, Ahmedabad, Gujarat, 380015",+91 8929167903,Hours: 11:00 AM to 10:00 PM 
Mehsana Radhanpur,"Shop No 20, Metricon Complex, Panchot, Opposite Domino, Mehsana, Gujarat, 384002",+91 7042193194,Hours: 11:00 AM to 09:00 PM 
Ved Road,"Shop No 33/34/35, Laxmi Darshan Complex, Ved Road, Katargam, Near Dabholi Cross Road, Surat, Gujarat, 395004",+91 8447731779,Hours: 11:00 AM to 09:30 PM 
Ajwa,"Shop No 5, GF, Shree Siddheswar Hallmark Showroom, RS No 241/A/2, Mouje Village, Ajwa Road, Vadodara, Gujarat, 390019",+91 8743023527,Hours: 11:00 AM to 09:30 PM 
Station Road,"Shop No 2, Prabhakunj Heights, Station Road, Besides Dabu Hospital, Navsari, Gujarat, 396445",+91 7428890279,Hours: 11:00 AM to 09:00 PM 
"Chala Road, Vapi","G/10 & 11 Shoppers Gate, Chala, Daman Road, Near Tbz, Vapi, Gujarat, 396191",+91 8447728403,Hours: 11:00 AM to 09:00 PM 
Bhatar,"Gf28, Rajhans Olympia, Sanskar Nagar, Bhatar Road, Rajhans Olympia Building, Surat, Gujarat, 395007",+91 8929608658,Hours: 11:00 AM to 09:00 PM 
Char Rasta,"Shop No 11 & 12, Gold Coin Complex, Jodhpur Char Rasta, Satellite Road, Ahmedabad, Gujarat, 380015",+91 9205975976,Hours: 11:00 AM to 09:00 PM 
Bhuj,"Ground Floor, Shop No 1 & 2, Hospital Road, Opposite Rajaram Complex, Bhuj, Gujarat, 370001",+91 8929808415,Hours: 11:00 AM to 09:00 PM 
Gandhinagar,"Shop No 2 A Gf2, Pramukh Arcade, Rajdhani Society, Kudasan, Pramukh Arcade, Near Reliance Chowk, Gandhinagar, Gujarat, 382421",+91 9971001355,Hours: 11:00 AM to 09:00 PM 
Honey Park,"Shop No 19, Ground Floor, Aadinath Arcade, Honey Park Road Adajan, Surat, Gujarat, 395009",+91 9953929749,Hours: 11:00 AM to 09:30 PM 
Parvat Patiya,"Ground Floor, Shop No 2, Plot No 51, Mahendra Park Society, Parvat Patiya, Dumbhal, Near Aye Mata Chowk, Surat, Gujarat, 395010",+91 8929346323,Hours: 11:00 AM to 09:00 PM 
Alkapuri,"Shop No 7, Ground Floor, Meghdhanush Complex, Alkapuri, Near Bird Circle, Race Course Road, Vadodara, Gujarat, 390007",+91 7428890296,Hours: 11:00 AM to 09:00 PM 
Kotecha Chowk,"Shop No 1, Aardhana Building, Kalawad Road, Near Kotecha Chowk, Rajkot, Gujarat, 360005",+91 8447745869,Hours: 11:00 AM to 09:00 PM 
Alpha One Mall,"F-7, 261, Sarkari Vasahat Road, Vastrapur, Alpha One Mall, Opposite Pepe Jeans, Ahmedabad, Gujarat, 380006",+91 7428891368,Hours: 11:00 AM to 09:00 PM 
Prahladnagar,"Ground Floor 6, Pushpak Complex, Prahladnagar Road, Opposite Prahladnagar Garden, Ahmedabad, Gujarat, 380015",+91 8929334626,Hours: 11:00 AM to 09:00 PM 
Chanakyapuri,"Shop No 6, Grond Floor, Shayona Sarvopari Complex, Opposite Shayona Hospital, RC Technical Road, Chanakyapuri, Gatlodia, Ahmedabad, Gujarat, 380061",+91 9953684921,Hours: 11:00 AM to 09:00 PM 
Naroda,"Shop No 3, Aayushman Plaza, Vasant Vihar 2, Nava Naroda, Ahmedabad, Gujarat, 382330",+91 8447725795,Hours: 11:00 AM to 09:30 PM 
Nanpura,"GF 01, Milestone Elite, Timiliyawada Road, Timaliawad, Nanpura, Surat, Gujarat, 395001",+91 9899411096,Hours: 11:00 AM to 09:30 PM 
Mota Varachha,"G04, AR Mall, Opposite Panvelpoint, Mota Varachha, Utaran, Surat, Gujarat, 394101",+91 9953665923,Hours: 11:00 AM to 09:30 PM 
Vastral,"Silver Point Shop No 3, Nirant Char Rasta, Mahadevnagar Road, Vastral, Opposite Metro Pillar No 138, Ahmedabad, Gujarat, 382418",+91 8447743831,Hours: 11:00 AM to 09:00 PM 
Valsad,"Shop No 2, Lillys Shoppee, Tithal Road, Near Bharat Dairy, Valsad, Gujarat, 396001",+91 8826001366,Hours: 11:00 AM to 09:00 PM 
Phase 2 GIDC,"Shop No 29 & 30, Silvasa Vapi Road, Phase 2, GIDC, Vapi, Gujarat, 396191",+91 9953637332,Hours: 11:00 AM to 09:30 PM 
CG Road,"Shop No 1, 2 & 3, Singaporean Avenue, , Cg Road, Near Super Mall, Ahmedabad, Gujarat, 380009",+91 7428891073,Hours: 11:00 AM to 09:30 PM 
Karelibagh,"Ground FLoor, Dharmik Avenue, Near HDFC Bank, Ambalal Cross Road, karelibaug, Vadodara, Gujarat, 390018",+91 9818821639,Hours: 11:00 AM to 10:00 PM 
Bharuch,"Shop No 4 Ground Floor Sethna Plaza, Station Road, Near Hp Petrol Pump, Bharuch, Gujarat, 392001",+91 8826631368,Hours: 11:00 AM to 09:00 PM 
Gotri Sears Tower,"Shop No 4, Ground Floor, Gotri Sears Tower, Sevasi Canel, Vadodara, Gujarat, 391101",+91 8929185165,Hours: 11:00 AM to 09:30 PM 
Mavdi,"Shop No 3 & 4, One Mavdi Building, Mavdi Bypass Road, Behind Haridarshan School, Mavdi Village, Mavdi, Rajkot, Gujarat, 360004",+91 9953449842,Hours: 11:00 AM to 09:00 PM 
Maninagar,"Shop No 5, Madhuram Complex, Maninagar Char Rasta, Maninagar, Opposite Shree Vallabhacharya Ji Chowk Bus Stop, Ahmedabad, Gujarat, 380008",+91 7428891086,Hours: 11:00 AM to 10:00 PM 
Eva Mall,"Ugf 019 & 20, Eva Mall, Saraswati Complex, Vrajdham Mandir Road, Manjalpur, Near Patidar Cross Road, Vadodara, Gujarat, 390011",+91 8447847079,Hours: 11:00 AM to 09:30 PM 
Trikon Bagh,"Shop No 1 & 2, Shree Chambers, Dhebar Rd, near Central City Bus Stop, Trikon Baug, Raghuveer Para, Lohana Para, Rajkot, Gujarat, 360001",+91 9873960198,Hours: 11:00 AM to 09:00 PM 
4D Square Mall Motera,"Shop No 30 & 31, Ground Floor, 4D Square Mall, Draft Town Planning Scheme No 21, Moje Motera, Near Tune Hotel, Visat Gandhinagar Road, Taluka, Ahmedabad, Gujarat, 380005",+91 8744058464,Hours: 11:00 AM to 09:00 PM 
150 Feet Ring Road,"Plot No A51, Ground Floor, Shope No 18, Twin Star, Nanamava Circle, 150 Feet Ring Road, Nanamava Circle, Rajkot, Gujarat, 360005",+91 8929277340,Hours: 11:00 AM to 09:00 PM 
DB Mall,"Khasra No 520, 521, 524, DB Mall, Unit No F2&3, 528 & 529, Racecourse Road, Opposite Railway Station, Gwalior, Madhya Pradesh, 474001",+91 8929839065,Hours: 11:00 AM to 10:00 PM 
Phoolbagh,"Ground Floor, City Square Building, Shop No G 3, G 4,G 13 & G 14, Near GDA Office, Sai Baba Mandir Road, Phool Bagh, Gwalior, Madhya Pradesh, 474002",+91 9899409859,Hours: 11:00 AM to 10:00 PM 
Gwalior,"R/0/770/44, Patankar Bazaar Lashkar, Patankar Bazaar, Near Shanti Nursing Home, Gwalior, Madhya Pradesh, 474001",+91 8929330615,Hours: 11:00 AM to 10:00 PM 
Chetakpuri,"Ground Floor, Shop No 3, Chetakpuri Main Road, Opposite Nirma Bhawan, Chetakpuri, Gwalior, 474001",+91 8447907937,Hours: 11:00 AM to 10:00 PM 
University Road,"Ground Floor, Plot No 1, University Road, Adjacent to Navyug Hospital, Govindpuri, Gwalior, Madhya Pradesh, 474011",+91 8929469731,Hours: 11:00 AM to 10:00 PM 
NIT,"1H/60 Ground & First Floor, Bn Nit, Faridabad, Haryana, 121001",+91 8447731751,Hours: 11:00 AM to 09:30 PM 
Panchkula,"Ground Floor, SCO 57, Swastik Vihar, Near Apollo Pharmacy, MDC 5, Sector 5, Panchkula, Haryana, 134114",+91 9873917952,Hours: 11:00 AM to 09:00 PM 
Sector 15,"Shop No 71, Ground Floor, Sector 15, Part 2, Gurugram, Haryana, 122001",+91 7428891114,Hours: 11:00 AM to 09:30 PM 
Rohtak,"Shop No 2, Raj Complex, Delhi Road, Opposite Liberty Cinema, Rohtak, Haryana, 124001",+91 9667273274,Hours: 11:00 AM to 09:30 PM 
"Sector 53, Gurugram","The Palm Spring Plaza, First Floor, DLF Phase 5, Manabe Sector 53, Gurugram, Haryana, 122002",+91 08744080515,Hours: 09:30 AM to 06:30 PM 
Sushant Lok 1,"Shop No 39, Ground Floor, Vyapar Kendra, Sushant Lok 1, Gurugram, Haryana, 122002",+91 7428891143,Hours: 11:00 AM to 09:30 PM 
Gandhi Nagar Chowk Sonipath,"Plot No 2, Ground Floor, Hem Nagar, Near Gandhi Nagar Chowk, Sonipath, Haryana, 131001",+91 9582633910,Hours: 11:00 AM to 09:30 PM 
Sector 63,"Ground Floor 27, Paras Trinity, Sector 63, Gurugram, Haryana, 122011",+91 9319375672,Hours: 11:00 AM to 09:30 PM 
"New Railway Road, Adarsh Nagar","Shop No 305/1, Ground Floor, New Railway Road, Adarsh Nagar, Gurugram, Haryana, 122001",+91 7428891171,Hours: 11:00 AM to 09:30 PM 
New Industrial Town 5,"Shop No 5C-91, New Industrial Town 5, Near Banke Bihari Mandir, Faridabad, Haryana, 121001",+91 7428891180,Hours: 11:00 AM to 09:30 PM 
Sector 04,"SCO 34, Ground Floor, Huda Market, Sector 04, Gurugram, Haryana, 122001",+91 8800775164,Hours: 11:00 AM to 09:30 PM 
Urban Estate,"SCF 40, Ground Floor, Urban Estate II, Hisar, Haryana, 125001",+91 8447846048,Hours: 11:00 AM to 09:30 PM 
"Sector 15, Faridabad","Scf 58, Ground Floor, Sector 15, Faridabad, Sector 15 Market, Faridabad, Haryana, 121007",+91 7428891191,Hours: 11:00 AM to 09:30 PM 
Sapphire 90 Mall,"Shop No 145, Ground Floor, Sapphire Mall, Sector 90, Gurugram, Haryana, 122505",+91 8929344697,Hours: 11:00 AM to 09:30 PM 
Eros City Square Mall,"Shop No 90, Eros City Square Mall, Sector 49, Gurugram, Haryana, 122018",+91 8588814302,Hours: 11:00 AM to 09:30 PM 
Greenfield Colony Faridabad,"Shop No 2, C 3615, Sector C, Greenfield Colony, Near Kalka Public School, Vill Sarai ,Faridabad, Haryana, 121003",+91 9582486089,Hours: 11:00 AM to 09:00 PM 
Arjun Marg,"Shop No 108, The Shopping Mall, DLF Phase 1, Sector 26 A, Arjun Marg, Gurugram, Haryana, 122002",+91 7428891202,Hours: 11:00 AM to 09:30 PM 
Subhash Nagar,"Shop No 39 & 40, Basement & Ground Floor, Municipal Market, Atlas Road, Indira Colony, Main Subhash Chowk, Sonipat, Haryana, 131001",+91 9870523524,Hours: 11:00 AM to 09:30 PM 
Model Town Yamuna Nagar,"Ground Floor & First Floor, Property No 525 A, C Part, Near J K Residency, Gobindpuri Road, Model Town, Amabala Cluster, Yamuna Nagar, Haryana, 135001",+91 8447803468,Hours: 11:00 AM to 09:00 PM 
Sector 49 Arcadia,"CG 33 & 34, Ground Floor, Sector 49, Arcadia, Opposite Good Earth City Center Mall, Gurugram, Haryana, 122018",+91 7428891214,Hours: 11:00 AM to 09:30 PM 
IMT Manesar,"DCO-D-6, Ground & Basement, IMT Manesar, Sector 1, Gurugram, Haryana, 122051",+91 8929182102,Hours: 11:00 AM to 09:30 PM 
Sector 14,"Shop No 10 & 11, Sector 14, Rajeev Nagar, Old Delhi Gurugram Road, Gurugram, Haryana, 122001",+91 9999621452,Hours: 11:00 AM to 09:30 PM 
"Sector 11, Panchkula","Ground Floor, Sco 14, Sector 11, Panchkula, Panchkula, Haryana, 134108",+91 8929031287,Hours: 11:00 AM to 09:30 PM 
Flagship Store South Point Mall,"Upper Ground Floor, South Point Mall, Golf Course Road, DLF Phase 5, Sector 53, Gurugram, Haryana, 122002",+91 8588811573,Hours: 11:00 AM to 09:30 PM 
Charmwood,"Shop No 5, Charmwood Bazar, Charmwood Village, Surajkund, Opposite Supreme Hospital, Faridabad, Haryana, 121009",+91 9643321530,Hours: 11:00 AM to 09:30 PM 
Sector 79,"SCO 50, Basement & Ground Floor, Omaxe world Street, Sector 79, Faridabad, Haryana, 121004",+91 9582697687,Hours: 11:00 AM to 09:30 PM 
Sector 10,"No 944/LIG, Ground Floor, Sector 10, Faridabad, Haryana, 121006",+91 9582597332,Hours: 11:00 AM to 09:30 PM 
Sector 68,"Unit No GF 27, Reach Airia, Sector 68, Gurugram, Haryana, 122018",+91 9643471490,Hours: 11:00 AM to 09:30 PM 
Omaxe City Centre Mall Sector 49,"Shop No A16 & A17, Ground Floor, Omaxe City Centre Mall, Village Fazilpur Jharsa, Sector 49, Sohna Road, Gurugram, Haryana, 122018",+91 7291821701,Hours: 11:00 AM to 09:30 PM 
Nichelson Road,"Ground Floor, 6275/34/1, Nicholson Road, Ambala Cantt, Near Icici Bank, Ambala, Haryana, 133005",+91 9667016017,Hours: 11:00 AM to 09:00 PM 
Ambedkar Chowk,"Shop No H35, Dayal Singh Colony, Near Karnal Club, Karnal, Haryana, 132001",+91 7428890220,Hours: 11:00 AM to 09:00 PM 
"Sector 20, Panchkula","Sco 278, Sector 20, Panchkula, Sector 20 Market, Panchkula, Haryana, 134119",+91 7428891261,Hours: 11:00 AM to 09:30 PM 
Huda Market Sector 56,"Ground Floor, SCO 38, Huda Market, Sector 56, Gurugram, Haryana, 122003",+91 8929214294,Hours: 11:00 AM to 09:30 PM 
Sector 46,"Plot No 19, Huda Market, Near Sbi Bank, Sector 46, Gurugram, Haryana, 122001",+91 8376801596,Hours: 11:00 AM to 09:30 PM 
Kurukshetra,"Ground Floor, 1835, Near Ambedkar Chowk, Ambedkar Chowk, Opposite Sector 17, Kurukshetra, Haryana, 136118",+91 8929859908,Hours: 11:00 AM to 09:00 PM 
Pinjore,"Ground Floor, Khata No 56, Abdullapur Tehsil, Near Yes Bank, Kalka Road, Pinjore, Panchkula, Haryana, 134102",+91 9582541859,Hours: 11:00 AM to 09:00 PM 
Flagship Store Crown Interiorz Mall,"Shop No 36D, Ground Floor, Sector 35, Crown Interiorz Mall, Near Sarai Metro Station, Mathura Road, Faridabad, Haryana, 121003",+91 7428891311,Hours: 11:00 AM to 09:30 PM 
Ambala,"416 /1160, Model Town Road, Model Town Road, Opposite Old Session Court, Ambala, Haryana, 134003",+91 8447745051,Hours: 11:00 AM to 09:00 PM 
Good Earth City Centre Mall,"Unit No 70, Good Earth City Centre Mall, Sector 50, Gurugram, Haryana, 122018",+91 7428891320,Hours: 11:00 AM to 09:30 PM 
Palwal,"174/32 & 19/428, Nagar Parishad Palwal Tehsil, Opposite Jaat Dharamshala, Palwal, Haryana, 121102",+91 8929142854,Hours: 11:00 AM to 08:00 PM 
Ambience Mall,"Shop No S-256, Second Floor, Ambience Mall, Opposite Samsung Smart Cafe, Gurugram, Haryana, 122002",+91 7428891351,Hours: 11:00 AM to 09:30 PM 
Bahadurgh,"Bgr/Ward 18/825 & 826, Ground Floor, Saini Market, Opposite Metro Pillar No 840, Bahadurgarh, Haryana, 124507",+91 9667248249,Hours: 11:00 AM to 09:30 PM 
Sector 37,"Shop No 21, 22, 23, Aman Plaza 12/2, Old Shah Suri Road, Main Road, Sector 37, Faridabad, Haryana, 121003",+91 9953811921,Hours: 11:00 AM to 09:30 PM 
Model Town,"323R, Model Town, Ring Road, Model Town, Near Gupta Eye Hospital, Panipat, Haryana, 132103",+91 9821080302,Hours: 11:00 AM to 09:00 PM 
Sector 31,"Shop No 1, Ch. Het Ram Complex, Pili Kothi, Sher Shah Suri Marg, Sector 31, Faridabad, Haryana, 121003",+91 9582331459,Hours: 11:00 AM to 09:30 PM 
MGF Metropolitan Mall,"Shop No 1 To 3, Ground Floor, MGF Metropolitan Mall, Mg Road, DLF Phase 2, Sector 25, Gurugram, Haryana, 122002",+91 7428891064,Hours: 11:00 AM to 09:30 PM 
Sector 17,"SCF 58, Ground Floor, Sector 17, Huda Market, Gurugram, Haryana, 122001",+91 8929473508,Hours: 11:00 AM to 09:30 PM 
Sapphire 83 Mall,"Shop No 114, Ground Floor, Sapphire 83 Mall, Sector 83, Gurugram, Haryana, 122004",+91 9643121391,Hours: 11:00 AM to 09:30 PM 
Sector 8,"Shop No 378 P, Sector 8, Urban Estate, Sector 8, Panchkula, Haryana, 134109",+91 9643689383,Hours: 11:00 AM to 09:30 PM 
Sector 70,"Shop No 19A, Ground Floor, Reach 3 Road, Sector 70, Gurugram, Haryana, 122008",+91 7065205035,Hours: 11:00 AM to 09:30 PM 
Mandi Dabwali,"Ground Floor, Khatoni No 1639, Khasara No 2041 & 2042, Chautala Road Nai Dabwali, Mandi Dabwali, Sirsa, Haryana, 125104",+91 9953968271,Hours: 10:00 AM to 09:00 PM 
Sector 10 A,"SCO No 11, Huda 10 A, Sector 10 A, Gurugram, Haryana, 122001",+91 8929328752,Hours: 11:00 AM to 09:30 PM 
Old Railway Road,"Shop No 3, Ground Floor, M C Shopping Complex, New Colony Mor, Old Railway Road, Gurugram, Haryana, 122001",+91 7065035344,Hours: 11:00 AM to 09:30 PM 
"Big Bazaar Chowk, Sai Road, Baddi","Big Bazaar Chowk, Sai Road, Near Laj Dharam Kanta, Baddi, Himachal Pradesh, 173205",+91 8929597436,Hours: 11:00 AM to 09:30 PM 
Paonta Sahib,"Sampda, Samsherpur, Paonta Sahib, Sirmaur, Himachal Pradesh, 173025",+91 8447894653,Hours: 11:00 AM to 09:30 PM 
Una Nangal Road,"Upper Ground Floor 3, Khawat No 295, Khatoni No 340, Min Khasra No 873, Malahat Nagar Tehsil, Nangal Road, Una, Himachal Pradesh, 174303",+91 9711452509,Hours: 10:30 AM to 09:00 PM 
Sundar Nagar,"Ground Floor 55/4, Two Shutter Hall, Near Idbi, Village Bhojpur, Mandi, Near Icici Bank, Sundar Nagar, Himachal Pradesh, 175018",+91 8929347552,Hours: 11:00 AM to 08:00 PM 
Palampur,"Shop No 49, Ground Floor, Grand Plaza Complex, Palampur, Beside Dominos, Palampur, Himachal Pradesh, 176061",+91 9971001357,Hours: 11:00 AM to 08:00 PM 
Kangra,"New Shop Kangra, Ground Floor, Vpo, Kangra, Opposite Ploytechnic College, Himachal Pradesh, 176001",+91 7428890193,Hours: 11:00 AM to 08:00 PM 
Mall Road,"Shop No 07, Ground Floor, Vivanta Mall, Mall Road, Solan, Himachal Pradesh, 173212",+91 8447845295,Hours: 11:00 AM to 09:00 PM 
Himayat Nagar,"3-6-110/1,2,3 Shop No 1, Ground Floor, Anand Arcade, Himayath Nagar, Opposite Tata Motors, Hyderabad, Telangana, 500029",+91 7065078535,Hours: 11:00 AM to 09:30 PM 
Neredmet,"H No 37 74/11/1, Plot No E-62, Survey No 218/1/3, Jj Nagar Ramakrishnapuram, Malkajgiri Municipality And Mandal Ranga Reddy, Neredmet, Hyderabad, Telangana, 500094",+91 7290097285,Hours: 11:00 AM to 09:30 PM 
Vikrampuri,"Plot No 6 S, Nos 60 6162/1, New Vasavi Colony, Second Venture Kakaguda, Village Secunderabad Cantonment Area, Vikrampuri, Hyderabad, Telangana, 500015",+91 8929436583,Hours: 11:00 AM to 09:30 PM 
DSL Virtue Mall,"FF 02 & 03, First Floor, DSL Virtue Mall, Ramanthapur Main Road, Ida Uppal, Near Uppal Metro Station, Hyderabad, Telangana, 500039",+91 8929871420,Hours: 11:00 AM to 10:00 PM 
Beeramguda,"Plot No 8/B, H No 14-81/13/8/B/A/1, Raghavendra Colony, Beeramguda, Ramachandrapuram, Hyderabad, Telangana, 502032",+91 9667226227,Hours: 11:00 AM to 09:30 PM 
"Flagship Store At Vanasthalipuram Main Road, Hyderabad","H No 5-5858/1(New), 5-5-511(Old), Plot No 27 &30, Ward No 05, Chintalknta Of Sahebnagar, Kjurd Village, Hyathnagar Mandal, Ranga Reddy District,Vanasthalipuram, Hyderabad,Telangana, 500074",+91 8744052756,Hours: 11:00 AM to 09:30 PM 
Champapet,"Shop No 17/1/383/N/80/31, Block No 1, Brindavan Colony Nagar, Champapet, Opposite Manda Ram Reddy Garden, Hyderabad, Telangana, 500079",+91 7428891122,Hours: 11:00 AM to 09:30 PM 
LB Nagar,"Plot No 124 In Survey No 64, Ward No 3, Block No 8, Door No 3-11-22, Sri Enclave, Suvidha Arcade, Rtc Colony, Lb Nagar, Bahadurguda, Hyderabad, Telangana, 500074",+91 9319372707,Hours: 11:00 AM to 09:30 PM 
Nagole Hyderabad,"Plot No 24, H No 23-39/24, Ground Floor, Sharada Plaza, Bharath Petroleum Lane, Near Nagole X Road, Nagole Circle, Uppal Mandal, Medchal Malkajgiri, Hyderabad, Telangana, 500068",+91 9643702844,Hours: 11:00 AM to 09:30 PM 
Kukatpally,"D#12-6-2/216, P#1 Sy#577, Ground Floor, Kukatpally, Opposite Bjp Office, Hyderabad, Telangana, 500072",+91 7303423424,Hours: 11:00 AM to 09:30 PM 
ECIL Radhika,"Victory Plaza, Plot No 11 Extension, Ecil X Main Road, Khushaiguda, Khushaiguda, Opposite Sbi Bank, Hyderabad, Telangana, 500062",+91 8929261828,Hours: 11:00 AM to 09:30 PM 
Malakpet,"Shop No 16/10/27/105/7/4/1, Tirumala Pride, Main Road, Malakpet, Opposite Bajaj Electronics, Hyderabad, Telangana, 500036",+91 7428891146,Hours: 11:00 AM to 09:30 PM 
Kalasiguda,"Shop No 1,7 & 396, Sandhu Apartment, Jain Estate, Kalasiguda, Secunderabad, Kalasiguda, Opposite Incredible One Hotel & Nanking Hotel Parklane, Hyderabad, Telangana, 500003",+91 7428890087,Hours: 11:00 AM to 09:30 PM 
Adikmet,"House No 1/9/670/69, Ground Floor, Srt Quarters, Vidya Nagar, Adikmet, Near Apollo Pharmacy, Hyderabad, Telangana, 500044",+91 7428891147,Hours: 11:00 AM to 09:30 PM 
Kondapur 2,"Ground Floor, D No 1-112, Kondapur S2 & S1, Chandanagar, Hyderabad, Telangana, 500084",+91 9582251897,Hours: 11:00 AM to 09:30 PM 
Kukatpally,"Mig 42, Ground Floor, Kphb Phase 1, Dharma Reddy Colony, Kukatpally, Opposite Jntu, Hyderabad, Telangana, 500072",+91 7428890093,Hours: 11:00 AM to 09:30 PM 
West Marredpally,"Building No, 3 & 6,101/C/1J, H/228, Chiranjeevi Apartment, West Marredpally Road, Boosareddy Guda, Aswini Colony, West Marredpally, Beside Apollo Pharmacy, Hyderabad, Telangana, 500026",+91 7303425426,Hours: 11:00 AM to 09:30 PM 
